Step No.,description,actual_readings,start_time,end_time
1.1.1,PREPARATION OF SUGAR SYRUP AND ADDITION OF PEPTONE:,,,
1.1.1.1.,Transfer about 50 to 60 L purified water in Tank ID TLI2M20,50 - 60 L,,
1.1.1.2.,Start the stirrer in tank ID TLI2M20,,,
1.1.1.3.,"Join the steam inlet and outlet hose pipe between vessel and Steam input, output nozzles on wall   ",,,
1.1.1.4.,Open the steam inlet valve and adjust/throttle the steam outlet valve to remove the condensate from jacket of vessel,,,
1.1.1.5.,Heat the purified water to ,80-90°C,,
,80-90°C,,,
1.1.1.6.,Add 132 kg sugar in Tank ID TLI2M20,132 kg,,
1.1.1.7.,Spray the water on the wall of Tank to remove adhered sugar ,,,
1.1.1.8.,Continue the heating and stirring till boiling of sugar syrup ,,,
1.1.1.9.,Continue the boiling of sugar syrup for 2-5 minutes , 2-5 minutes,,
,,,,
1.1.1.10.,Add 9.238kg Peptone to the above boiling sugar syrup ,9.238kg,,
,,,,
1.1.1.11.,Rinse the container of peptone with purified water and add rinsing to the above syrup ,,,
1.1.1.12.,Again Heat the syrup to boiling for 2-5 minutes  , 2-5 minutes,,
,,,,
1.1.1.13.,Stop the heating by closing the steam input valve,,,
1.1.1.14.,Confirm the tank ID TLI2M21 or TLI2M23 is cleaned and bottom outlet valve is closed ,,,
,,,,
1.1.1.15.,Connect the Transfer pump ID No: TLI2M10 to the tank ID TLI2M20,,,
1.1.1.16.,Stop the stirrer in Tank ID TLI2M20,,,
1.1.1.17.,Filter the hot sugar syrup to the tank ID TLI2M21 or TLI2M23 through 120# filter ,,,
1.1.1.18.,Spray about 10-15 L purified water to rinse the tank ID TLI2M20 and transfer the rinse while filtering through 120# filter ,,,
1.1.1.19.,Disconnect the pump from Tank ID TLI2M20 and clean the tank by spraying the purified water.,,,
1.1.1.20.,Again transfer the syrup from vessel ID TLI2M21 or TLI2M23 to the TLI2M20 for cooling. ,,,
,,,,
1.1.1.21.,Rinse the vessel with 5-10 L purified water and transfer the rinse to Tank ID TLI2M20,,,
1.1.1.22.,Start the stirrer in tank,,,
, ID TLI2M20,,,
1.1.2.,"ADDITION OF,PRESERVATIVES AND SORBITOL",,,
1.1.2.1.,Keep aside about 0.500 kg of propylene glycol of flavor dissolution ,0.500 kg,,
1.1.2.2.,Transfer Balance about ,2.700 kg ,,
,2.700 kg Propylene Glycol in SS vessel ,,,
1.1.2.3.,Heat the propylene glycol to 60-70°C ,60-70°C,,
1.1.2.4.,Add 0.300kg Methyl Paraben and 0.100kg Propyl Paraben in above hot propylene glycol ,0.300kg,,
,,0.100kg,,
,,,,
,,,,
1.1.2.5.,Continue the stirring and heating till complete dissolution of Methyl Paraben and Propyl Paraben  ,,,
1.1.2.6.,Ensure complete dissolution of preservatives,Dissolved ,,
1.1.2.7.,Add this preservative solution in Tank ID TLI2M20 containing sugar syrup ,,,
1.1.2.8.,Rinse the vessel of preservative with purified water and add rinsing to the sugar syrup ,,,
1.1.2.9.,Add 10kg Sorbitol solution to the syrup while filtering through 120# filter,10.00kg,,
1.1.2.10.,Join the cooling water  inlet and outlet hose pipe between vessel and cooling water  input nozzles on wall   ,,,
